#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0036   14   29.8088   165.1974   331.3697   38.1993   58.1423  888.8551451373426
FM   1.80   0.0036   15   61.1704   369.3783   322.9876   33.6550   77.1242  888.9128079253755
#--- new collection started at 14:23:59---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0040   10   45.5510   502.7054   344.8175   50.2968   85.6078  907.3916803496614
FM   1.80   0.0040   11   22.1068   298.6420   336.7713   45.8326   54.5172  907.4621352759873
FM   1.80   0.0040   12   11.9143   87.5990   328.3994   41.1704   32.6044  907.5279843096387
FM   1.80   0.0040   13   38.9576   120.2468   320.1064   36.5564   62.0500  907.5896170419774
#--- new collection started at 14:26:03---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0050   11   43.4571   627.0371   332.8138   49.9755   83.9975  939.6239972083222
FM   1.80   0.0050   12   19.0011   419.6954   324.4032   45.2772   49.8878  939.6948472673312
FM   1.80   0.0050   13   14.5027   211.0291   315.9989   40.5268   39.3969  939.7611600942159
FM   1.80   0.0050   14   43.2077   12.0060   307.3645   35.7448   29.0560  939.8232985612734
#--- new collection started at 14:27:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0060   11   33.4441   678.9560   318.2214   48.0764   72.3115  974.0192449602239
FM   1.80   0.0060   12   9.9485   471.2325   309.6890   43.2176   31.0059  974.0892929922749
FM   1.80   0.0060   13   26.4189   260.7500   300.8453   38.2168   56.1977  974.1549449907584
#--- new collection started at 14:29:16---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0070   10   55.3972   998.7195   315.1032   52.6112   97.0081  1009.5299836347051
FM   1.80   0.0070   11   27.8527   769.8019   305.3508   47.0843   64.8134  1009.6050303534007
FM   1.80   0.0070   12   8.6533   564.1175   296.5326   42.0716   27.6860  1009.6753786954741
FM   1.80   0.0070   13   33.6743   354.6767   287.5035   36.9139   63.4075  1009.7413660211143
#--- new collection started at 14:32:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0095   9   43.4240   1222.4911   284.0033   50.6749   84.9231  1105.0060944017139
FM   1.80   0.0095   10   14.6936   997.8827   273.0877   44.6168   42.0461  1105.082200885189
FM   1.80   0.0095   11   20.9849   790.8122   263.0322   38.9731   51.0345  1105.15373938994
#--- new collection started at 14:34:35---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0100   9   47.6576   1309.6421   280.4947   51.5712   89.4807  1124.7740796979122
FM   1.80   0.0100   10   20.1819   1103.1972   270.3520   45.9269   52.6811  1124.851671939769
FM   1.80   0.0100   11   14.8849   895.0844   259.9069   40.1333   41.2100  1124.924659749041
#--- new collection started at 14:37:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0125   9   58.9233   1565.5133   270.7102   54.4867   100.8648  1195.6503790343406
FM   1.80   0.0125   10   28.6304   1350.0540   259.1207   48.2189   66.3718  1195.7299421879386
FM   1.80   0.0125   11   8.1749   1150.8149   248.3188   42.3364   26.5178  1195.8050839396697
#--- new collection started at 14:39:34---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0135   8   52.9957   1589.6421   262.8845   53.4964   95.2487  1225.701569193691
FM   1.80   0.0135   9   23.0540   1379.4224   251.1234   47.1965   57.7438  1225.7806182145107
FM   1.80   0.0135   10   10.7142   1193.0229   240.5571   41.5101   32.6745  1225.8553696905342
#--- new collection started at 14:42:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0140   8   74.6845   1779.8269   268.9768   58.3256   114.8949  1240.7315223710507
FM   1.80   0.0140   9   45.7212   1569.7134   256.9011   51.9815   87.6445  1240.8139462117824
FM   1.80   0.0140   10   17.6723   1372.8592   245.7991   46.0062   48.1240  1240.8919702259238
#--- new collection started at 14:45:11---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0200   7   62.9698   2070.0060   230.6813   57.4174   104.9455  1437.1926499655713
FM   1.80   0.0200   8   37.8247   1917.6327   219.6503   51.9619   78.8072  1437.2754469817983
FM   1.80   0.0200   9   14.4735   1755.6826   208.1348   46.1135   41.6010  1437.3548579017809
#--- new collection started at 14:47:22---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0216   7   61.4973   2113.1635   224.1335   57.1616   103.3859  1476.1696624475705
FM   1.80   0.0216   8   38.4724   1977.5595   214.2818   52.2331   79.5070  1476.251914201552
#--- new collection started at 14:50:30---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0247   7   58.3200   2194.1690   211.6912   56.6777   100.0750  1554.868749895246
FM   1.80   0.0247   8   34.0308   2060.2806   201.4571   51.5744   73.7684  1554.949360704776
#--- new collection started at 14:52:46---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0300   7   47.8052   2290.0787   187.5952   54.3252   88.7052  1699.54285360531
FM   1.80   0.0300   8   21.9959   2164.2501   176.7124   49.0156   55.5666  1699.6207043323275
#--- new collection started at 14:55:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0344   7   28.1723   2294.6738   166.2338   50.1154   64.6191  1792.4913655537916
FM   1.80   0.0344   8   17.3043   2191.6412   157.0604   45.5258   46.2011  1792.56565330142
#--- new collection started at 14:58:26---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0400   6   23.4396   2390.7593   147.9870   48.8055   56.8763  1918.111925831582
FM   1.80   0.0400   7   13.4769   2328.5973   142.2241   45.8801   38.6632  1918.1822403515748
#--- new collection started at 15:01:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0450   7   31.9338   2493.4017   141.2052   50.1867   68.1160  1995.0885428514018
FM   1.80   0.0450   8   14.8663   2360.2159   128.8357   43.7653   40.6914  1995.1551192177685
#--- new collection started at 15:04:20---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0500   7   15.3887   2421.4728   118.4016   43.1221   41.2237  2075.591629098646
#--- new collection started at 15:07:08---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0600   8   16.1387   2542.8792   98.7707   42.1623   41.5807  2240.3561693797637
#--- new collection started at 15:09:33---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0700   7   34.6179   2577.4039   78.7001   38.4197   58.8153  2338.6354216594655
#--- new collection started at 15:12:09---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:14:33---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:17:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.1000   5   23.8077   2859.7235   44.7382   39.5987   44.4649  2265.2394023187217
#--- new collection started at 15:19:30---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.1100   1   41.5886   3030.6341   66.4709   51.0337   67.7805  2080.107987117392
#--- new collection started at 15:21:21---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:23:12---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:25:07---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:27:23---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:07:23---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0080   12   41.9134   751.6898   302.8541   46.3144   79.8682  910.8771756209005
FM   1.90   0.0080   13   17.7719   546.1403   294.4590   41.3702   46.6920  910.9461556297049
FM   1.90   0.0080   14   15.1249   338.0964   285.7251   36.2804   39.9454  911.0108834736911
FM   1.90   0.0080   15   42.2228   141.0825   277.2027   31.3604   60.3621  911.0716706868814
#--- new collection started at 14:08:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:10:15---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:12:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:13:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:14:29---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:15:52---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0020   18   61.4234   1206.1247   364.7744   31.5110   77.5406  725.0660474150288
#--- new collection started at 14:17:26---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0025   12   28.9989   456.1182   309.9492   43.0356   63.3520  754.1390536358647
FM   1.90   0.0025   13   9.3163   257.1706   302.2185   38.4427   28.4598  754.203427018076
FM   1.90   0.0025   14   26.3362   55.4523   293.8664   33.6352   44.8744  754.263853791755
#--- new collection started at 14:18:58---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0030   16   12.8737   526.4128   354.4976   37.9358   36.7787  761.8419142000739
FM   1.90   0.0030   17   35.4347   711.1504   347.3289   34.1084   64.6992  761.8943406997646
#--- new collection started at 14:21:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0036   14   30.1963   34.4439   351.9458   44.0232   45.6069  783.62897819046
FM   1.90   0.0036   15   11.0800   225.3064   344.8305   40.0347   32.6346  783.6895915398002
FM   1.90   0.0036   17   46.8140   608.8160   330.0316   31.8751   69.6790  783.7996130459359
#--- new collection started at 14:24:01---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0040   13   31.6114   91.9097   343.4766   44.1407   58.7539  796.67622740077
FM   1.90   0.0040   16   48.1469   502.4962   321.0273   31.4142   69.3149  796.8509490405089
#--- new collection started at 14:26:04---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0050   13   44.9611   361.8060   336.9326   46.7835   81.0564  825.5007159913026
FM   1.90   0.0050   14   22.1410   155.4388   329.1714   42.3024   51.1014  825.5665376716021
FM   1.90   0.0050   15   9.9776   40.9033   321.8129   38.0468   25.9633  825.6281603722114
FM   1.90   0.0050   16   31.2036   227.8787   314.3313   33.8299   57.8228  825.6859481943584
#--- new collection started at 14:27:34---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0060   13   27.9761   351.1936   319.9424   43.3921   61.7631  853.0444542756128
FM   1.90   0.0060   14   9.3227   156.6226   312.3775   38.9933   28.0710  853.1083163948347
FM   1.90   0.0060   15   26.2049   42.5243   304.4716   34.4532   42.5595  853.168198704004
FM   1.90   0.0060   16   53.7434   231.2948   296.7282   30.0222   67.1037  853.2244427087658
#--- new collection started at 14:29:17---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0070   12   50.4900   689.9552   316.7009   47.9633   88.3741  880.5033145153473
FM   1.90   0.0070   13   25.3358   470.2361   307.9695   42.8647   58.6745  880.5725701219272
FM   1.90   0.0070   14   8.9738   280.7089   300.3079   38.4119   27.7081  880.637466764327
FM   1.90   0.0070   15   31.2052   71.8152   291.9743   33.4821   50.4654  880.698350469675
#--- new collection started at 14:32:08---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0095   10   55.8747   1067.3910   291.7843   49.4458   94.1500  957.4933218634791
FM   1.90   0.0095   11   28.8700   846.3596   282.1590   43.8268   64.3286  957.5667802757985
FM   1.90   0.0095   12   8.5971   648.6333   273.1351   38.6758   27.1412  957.6357712903988
FM   1.90   0.0095   13   31.0479   438.5479   263.6677   33.1731   58.4572  957.7005786140946
#--- new collection started at 14:34:36---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0100   10   42.9106   1022.8523   282.1190   46.8276   81.3315  973.0530073348991
FM   1.90   0.0100   11   17.2943   815.6866   272.7117   41.4021   46.0466  973.1250178717419
FM   1.90   0.0100   12   17.8611   595.4952   262.8871   35.6175   44.6694  973.1926960702197
#--- new collection started at 14:37:15---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0125   10   54.2273   1288.4310   272.2182   49.6188   92.9277  1033.0377114595185
FM   1.90   0.0125   11   24.8779   1061.2569   261.1600   43.3372   58.7868  1033.1118285031014
FM   1.90   0.0125   12   8.9291   869.5162   251.5419   37.9197   27.8764  1033.1816666714117
#--- new collection started at 14:39:36---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0135   9   70.2931   1485.5935   272.8978   53.3838   107.2503  1054.815724368925
FM   1.90   0.0135   10   43.5305   1277.1917   262.2009   47.4690   82.2442  1054.8931568242788
FM   1.90   0.0135   11   16.5889   1070.2616   251.7105   41.5603   44.8180  1054.9662125676496
FM   1.90   0.0135   12   17.9530   869.3996   241.3168   35.7116   44.9452  1055.035058767467
#--- new collection started at 14:42:20---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0140   9   51.6712   1371.5028   262.3298   49.2452   90.4960  1067.125608946938
FM   1.90   0.0140   10   24.2434   1170.9182   251.9393   43.4521   57.8993  1067.2000409017514
FM   1.90   0.0140   11   10.5506   965.7241   241.2418   37.4413   31.5779  1067.2702810700516
#--- new collection started at 14:45:17---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0200   8   63.3911   1865.1198   233.9552   53.5997   101.9305  1225.7227698496185
FM   1.90   0.0200   9   41.1084   1710.8810   223.9601   48.3894   79.9342  1225.801826078816
FM   1.90   0.0200   10   12.3337   1513.1904   211.1453   41.6092   36.1962  1225.8770468687962
#--- new collection started at 14:47:23---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0216   7   69.5446   1964.8779   231.5532   55.2801   107.2485  1259.0964001778343
FM   1.90   0.0216   8   44.4497   1800.4551   220.5152   49.5969   83.7694  1259.1759795626288
FM   1.90   0.0216   9   18.6203   1625.5694   208.7445   43.4531   48.7069  1259.2519167942437
#--- new collection started at 14:50:32---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.90   0.0247   7   66.5563   2053.9540   219.4826   54.9505   104.5312  1321.8862884729895
FM   1.90   0.0247   8   42.7700   1908.4379   209.1265   49.6686   81.9334  1321.9648961049286
FM   1.90   0.0247   9   17.8009   1745.2505   197.4501   43.6393   47.2090  1322.0402816345565
#--- new collection started at 14:52:50---
