O1   1.30   0.0400   2   43.6716   44.1452
O1   1.30   0.0400   3   18.4058   35.4457
#--- new collection started at 12:06:09---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0500   3   282.2175   398.2780
O1   1.30   0.0500   2   25.2562   58.0501
#--- new collection started at 13:30:13---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0600   1   132.3744   75.2432
O1   1.30   0.0600   3   13.7313   34.2640
O1   1.30   0.0600   4   18.2678   27.5451
#--- new collection started at 01:13:17---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0700   3   18.8837   47.2379
O1   1.30   0.0700   4   58.5520   74.0800
O1   1.30   0.0700   5   34.7449   24.3231
#--- new collection started at 01:52:49---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0800   1   130.2966   100.5200
O1   1.30   0.0800   4   182.6527   246.3401
O1   1.30   0.0800   5   68.2908   84.2918
O1   1.30   0.0800   6   33.2866   26.1916
#--- new collection started at 02:25:20---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 02:49:51---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.1000   2   32.5467   42.7598
O1   1.30   0.1000   3   94.2104   77.0914
#--- new collection started at 03:09:57---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.1100   4   78.5410   116.2918
#--- new collection started at 03:39:25---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.1200   3   36.3623   64.8411
#--- new collection started at 03:58:09---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 04:13:36---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 04:26:28---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:14:27---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0010   1   130.4052   217.2081
#--- new collection started at 13:36:20---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0013   1   118.8380   202.9081
#--- new collection started at 13:38:29---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:16:41---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0020   1   134.4143   206.0826
O1   1.40   0.0020   2   94.1599   170.0944
#--- new collection started at 13:40:46---
