#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:36:39---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:38:59---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:41:41---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:44:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0125   6   64.1093   2207.7287   179.6454   50.6923   96.7476  5950.077083542384
O1   1.10   0.0125   7   47.4239   2111.4676   200.3943   52.5547   87.7617  5950.176079960914
#--- new collection started at 17:46:29---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0135   6   42.2145   2187.7338   174.4119   49.1175   79.6201  6144.843697545828
#--- new collection started at 17:48:55---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0140   6   32.4516   2171.9193   170.5576   47.9171   68.9559  6243.6914413842505
#--- new collection started at 17:51:50---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0200   5   38.5398   2459.5254   100.7578   40.1166   65.3531  7584.7246281894495
O1   1.10   0.0200   6   16.5084   2420.9820   100.9197   39.0120   41.4377  7584.816219315428
#--- new collection started at 17:53:51---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0216   7   25.5755   2376.9976   86.9829   34.2805   49.8826  7843.783582162265
#--- new collection started at 17:56:46---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0247   6   52.5637   2172.4176   83.3812   27.3294   58.7643  4609.084455593657
#--- new collection started at 17:59:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0300   7   44.1243   2562.2275   42.4007   28.5206   48.9594  9350.487955334693
#--- new collection started at 18:01:25---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0344   6   37.9629   2660.5783   26.7471   27.6354   39.8843  9967.865985617107
#--- new collection started at 18:04:40---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0400   5   14.1114   2819.6894   12.7948   29.6408   21.8444  10808.370469190737
#--- new collection started at 18:07:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0450   5   18.0834   2926.2478   7.0990   32.2242   17.5794  11301.697242973094
#--- new collection started at 18:10:45---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0500   5   18.3226   2919.6962   9.7777   27.2387   20.6286  11814.084450571288
#--- new collection started at 18:13:23---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
